2023-01-02 23:27:46,143 - /home/yrh/桌面/FastApi/test1/1.py[line:62] - ERROR: 重复提交:895581
2023-01-02 23:35:16,688 - /home/yrh/桌面/FastApi/test1/1.py[line:44] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.07', '玩家价格前五': ['10.36', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:45:43,370 - /home/yrh/桌面/FastApi/test1/1.py[line:44] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.57', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:49:47,801 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:49:48,208 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:49:48,724 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.2', '16.47', '16.77', '16.79', '16.79']}}
2023-01-03 13:49:56,530 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:49:56,939 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:49:57,427 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.2', '16.47', '16.77', '16.79', '16.79']}}
2023-01-03 13:50:03,429 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:50:03,980 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:50:04,595 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.2', '16.47', '16.77', '16.79', '16.79']}}
2023-01-03 13:50:17,622 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:50:18,109 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:50:18,546 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.2', '16.47', '16.77', '16.79', '16.79']}}
2023-01-03 13:50:25,791 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:50:26,507 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:50:27,044 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.2', '16.47', '16.77', '16.79', '16.79']}}
2023-01-03 13:50:32,937 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:50:33,469 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:50:33,903 - /home/yrh/桌面/FastApi/test1/1.py[line:45] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.2', '16.47', '16.77', '16.79', '16.79']}}
2023-01-03 13:52:17,837 - /home/yrh/桌面/FastApi/test1/1.py[line:55] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:52:18,350 - /home/yrh/桌面/FastApi/test1/1.py[line:55] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:52:18,943 - /home/yrh/桌面/FastApi/test1/1.py[line:55] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:53:15,386 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:53:15,902 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:53:16,398 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:54:14,775 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:54:15,367 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:54:15,674 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:54:24,096 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:54:24,809 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:54:25,322 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:55:23,156 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:55:23,564 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.58', '53.59', '53.69', '53.79', '53.89']}}
2023-01-03 13:55:24,280 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:56:17,249 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:56:18,066 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:56:18,740 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:56:19,808 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:56:20,527 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:56:21,521 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:57:07,908 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:57:08,529 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:57:08,930 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:57:13,542 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:57:13,948 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:57:14,564 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:58:06,682 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:58:06,683 - /home/yrh/桌面/FastApi/test1/1.py[line:63] - ERROR: 获取buff商品信息失败:{'code': 404, 'msg': '未找到该商品或者出错了'}
2023-01-03 13:58:11,599 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:58:11,600 - /home/yrh/桌面/FastApi/test1/1.py[line:63] - ERROR: 获取buff商品信息失败:{'code': 404, 'msg': '未找到该商品或者出错了'}
2023-01-03 13:58:21,452 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:58:21,886 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:58:22,274 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.47', '16.77', '16.79', '16.79', '16.79']}}
2023-01-03 13:58:37,527 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:58:38,024 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:58:38,456 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.27', '16.37', '16.47', '16.77', '16.79']}}
2023-01-03 13:58:58,114 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:58:58,497 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:58:59,031 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.27', '16.37', '16.47', '16.77', '16.79']}}
2023-01-03 13:59:05,999 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:59:06,305 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:59:06,792 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.27', '16.37', '16.47', '16.77', '16.79']}}
2023-01-03 13:59:14,292 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:59:14,807 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
2023-01-03 13:59:15,220 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'AK-47 | 墨岩 (久经沙场)', 'steamCNY价格': '20.7', '玩家价格前五': ['16.27', '16.37', '16.47', '16.77', '16.79']}}
2023-01-03 13:59:36,288 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': '印花 | YEKINDAR（全息）| 2022年安特卫普锦标赛', 'steamCNY价格': '14.83', '玩家价格前五': ['10.35', '10.36', '10.36', '10.36', '10.36']}}
2023-01-03 13:59:36,724 - /home/yrh/桌面/FastApi/test1/1.py[line:56] - INFO: 成功获取buff商品信息:{'code': 200, 'msg': {'商品名称': 'M4A4 | 死寂空间 (略有磨损)', 'steamCNY价格': '69.95', '玩家价格前五': ['53.48', '53.48', '53.58', '53.59', '53.79']}}
